preferredName,log2FC_abs,log2FC_is_negative,alvo_ac_zol
CCL23,0.567015,1,0
CXCL11,1.0132,0,0
PRDM16,0.570077,1,0
BLK,0.53749,1,0
PERP,0.563594,1,0
GFRA4,0.51335,1,0
BLMH,0.532623,1,0
RAB17,0.60038,1,0
SOX17,0.672498,1,0
PPIAL4G,0.832666,0,0
MT1HL1,0.575534,0,0
TMPRSS3,0.528784,1,0
DEPTOR,0.521058,1,0
SLAMF1,0.516101,1,0
ZFP69B,1.29907,1,0
SFTPA1,0.509099,1,0
BMP8B,0.588583,1,0
SLC14A1,1.02021,1,0
SLN,0.560705,0,0
SIGLEC1,0.991245,0,0
SOD2,0.842217,0,0
SOD3,0.717936,1,0
BPHL,0.583082,1,0
SPRR3,0.629825,1,0
SRF,0.568778,1,1
STAT1,0.540515,0,1
STATH,0.562148,1,0
TAT,0.711171,1,0
TBX2,0.536664,1,0
TBX15,0.784027,1,0
TCF21,0.675991,1,0
TCN1,0.545105,1,0
TECTB,0.690015,1,0
NR2F1,0.508948,1,0
THBS1,0.713725,0,1
SERPING1,0.497284,0,0
TPD52,0.717146,1,0
C3,0.554638,0,0
C6,0.715831,1,0
SHISA9,0.590979,1,0
ACOD1,0.484861,0,0
WNT11,0.799449,1,0
CACNG1,0.737302,1,0
OTUB2,0.856269,1,0
FA2H,0.516374,1,0
C19orf57,0.699922,0,0
CALB1,0.651632,1,0
EPS8L3,0.546576,1,0
C11orf80,0.614599,1,0
ACBD4,0.8732,1,0
KDM8,0.517378,1,0
ZNF442,1.15554,1,0
TEDC2,1.06993,1,0
TMPRSS5,0.91436,1,0
SLC2A10,0.535407,1,0
PTDSS2,0.724624,1,0
GFOD2,0.643473,1,0
CDC7,0.565853,1,0
H2BC17,0.909496,0,1
SPATA16,0.810709,1,0
FAM161A,0.526058,1,0
ARID5B,0.516725,1,0
MINDY4,0.515175,1,0
MED10,0.883866,1,0
FBN3,0.577497,0,0
SPIRE2,0.537185,1,0
MCM8,0.517197,1,0
CNFN,0.759229,1,0
ATRN,0.500683,1,0
FAXC,0.621372,1,0
C9orf24,0.632505,0,0
HIRIP3,0.518613,1,0
HPDL,0.898628,0,0
TMEM25,0.681305,1,0
CFAP300,0.696149,1,0
KRTAP4-1,0.818623,1,0
PLA2G4C,0.515021,1,0
HSD17B6,0.691105,1,0
FGF16,0.793597,1,1
CCND2,0.583542,1,0
KBTBD6,0.625988,1,0
CCDC120,0.937169,1,0
HS6ST2,0.641997,1,0
FRMD7,1.18123,1,0
ARTN,0.668215,1,0
ZNF439,1.10642,1,0
CLDN9,0.752683,0,0
CCDC189,0.511769,1,0
IL33,1.62506,1,0
RGN,0.765403,1,0
RSAD2,0.794887,0,0
ATPAF2,0.552296,1,0
LRAT,1.65783,1,0
SLC38A5,0.769681,1,0
ADGRG1,1.71657,1,0
GPR55,0.594646,1,0
DMKN,0.577325,1,0
SYCE1,0.656238,1,0
CADPS2,0.585314,1,0
LENG9,0.784886,1,0
EPSTI1,0.729934,0,0
GDF3,0.627953,1,0
CELSR1,0.702361,1,0
MDC1,0.690751,1,0
PCDHGA8,0.876231,1,0
GPRASP1,0.661153,1,0
ACAP1,0.539361,1,0
CDC25C,0.732821,1,0
SCO2,0.732654,0,0
