MoleculeType,Entrez_ID,UniprotID,Name,Via de Sinalização
Proteins,P21554,P21554,CNR1,G alpha (i) signalling events 
Proteins,P34972,P34972,CNR2,G alpha (i) signalling events 
Proteins,Q5H8A3,Q5H8A3,NMS,G alpha (i) signalling events 
Proteins,P35462,P35462,DRD3,G alpha (i) signalling events 
Proteins,P21917,P21917,DRD4,G alpha (i) signalling events 
Proteins,P32248,P32248,CCR7,G alpha (i) signalling events 
Proteins,Q99731,Q99731,CCL19,G alpha (i) signalling events 
Proteins,O00585,O00585,CCL21,G alpha (i) signalling events 
Proteins,Q15391,Q15391,P2RY14,G alpha (i) signalling events 
Proteins,Q13519,Q13519,PNOC,G alpha (i) signalling events 
Proteins,P41146,P41146,OPRL1,G alpha (i) signalling events 
Proteins,P21730,P21730,C5AR1,G alpha (i) signalling events 
Proteins,P01031,P01031,C5,G alpha (i) signalling events 
Proteins,P48061,P48061,CXCL12,G alpha (i) signalling events 
Proteins,P25106,P25106,ACKR3,G alpha (i) signalling events 
Proteins,P61073,P61073,CXCR4,G alpha (i) signalling events 
Proteins,Q9BPV8,Q9BPV8,P2RY13,G alpha (i) signalling events 
Proteins,O43603,O43603,GALR2,G alpha (i) signalling events 
Proteins,P47211,P47211,GALR1,G alpha (i) signalling events 
Proteins,O60755,O60755,GALR3,G alpha (i) signalling events 
Proteins,P22466,P22466,GAL,G alpha (i) signalling events 
Proteins,P13501,P13501,CCL5,G alpha (i) signalling events 
Proteins,P51677,P51677,CCR3,G alpha (i) signalling events 
Proteins,P51679,P51679,CCR4,G alpha (i) signalling events 
Proteins,Q9BXC0,Q9BXC0,HCAR1,G alpha (i) signalling events 
Proteins,P46663,P46663,BDKRB1,G alpha (i) signalling events 
Proteins,P30411,P30411,BDKRB2,G alpha (i) signalling events 
Proteins,P01042,P01042,KNG1,G alpha (i) signalling events 
Proteins,P28222,P28222,HTR1B,G alpha (i) signalling events 
Proteins,P28566,P28566,HTR1E,G alpha (i) signalling events 
Proteins,P30939,P30939,HTR1F,G alpha (i) signalling events 
Proteins,P28221,P28221,HTR1D,G alpha (i) signalling events 
Proteins,P47898,P47898,HTR5A,G alpha (i) signalling events 
Proteins,Q9H244,Q9H244,P2RY12,G alpha (i) signalling events 
Proteins,P25024,P25024,CXCR1,G alpha (i) signalling events 
Proteins,P10145,P10145,CXCL8,G alpha (i) signalling events 
Proteins,P80162,P80162,CXCL6,G alpha (i) signalling events 
Proteins,Q8WXF3,Q8WXF3,RLN3,G alpha (i) signalling events 
Proteins,Q9NSD7,Q9NSD7,RXFP3,G alpha (i) signalling events 
Proteins,P18825,P18825,ADRA2C,G alpha (i) signalling events 
Proteins,P18089,P18089,ADRA2B,G alpha (i) signalling events 
Proteins,P08913,P08913,ADRA2A,G alpha (i) signalling events 
Proteins,P35414,P35414,APLNR,G alpha (i) signalling events 
Proteins,Q9ULZ1,Q9ULZ1,APLN,G alpha (i) signalling events 
Proteins,O60883,O60883,GPR37L1,G alpha (i) signalling events 
Proteins,P07602,P07602,PSAP,G alpha (i) signalling events 
Proteins,O15354,O15354,GPR37,G alpha (i) signalling events 
Proteins,Q96P68,Q96P68,OXGR1,G alpha (i) signalling events 
Proteins,P48039,P48039,MTNR1A,G alpha (i) signalling events 
Proteins,P49286,P49286,MTNR1B,G alpha (i) signalling events 
Proteins,O00574,O00574,CXCR6,G alpha (i) signalling events 
Proteins,Q9H2A7,Q9H2A7,CXCL16,G alpha (i) signalling events 
Proteins,Q14330,Q14330,GPR18,G alpha (i) signalling events 
Proteins,Q9UBY5,Q9UBY5,LPAR3,G alpha (i) signalling events 
Proteins,Q9HBW0,Q9HBW0,LPAR2,G alpha (i) signalling events 
Proteins,Q9H1C0,Q9H1C0,LPAR5,G alpha (i) signalling events 
Proteins,Q92633,Q92633,LPAR1,G alpha (i) signalling events 
Proteins,Q9NYV8,Q9NYV8,TAS2R14,G alpha (i) signalling events 
Proteins,P59544,P59544,TAS2R50,G alpha (i) signalling events 
Proteins,P59537,P59537,TAS2R43,G alpha (i) signalling events 
Proteins,P59551,P59551,TAS2R60,G alpha (i) signalling events 
Proteins,P59536,P59536,TAS2R41,G alpha (i) signalling events 
Proteins,Q9NYW0,Q9NYW0,TAS2R10,G alpha (i) signalling events 
Proteins,Q9NYW2,Q9NYW2,TAS2R8,G alpha (i) signalling events 
Proteins,Q9NYW6,Q9NYW6,TAS2R3,G alpha (i) signalling events 
Proteins,P59541,P59541,TAS2R30,G alpha (i) signalling events 
Proteins,P59538,P59538,TAS2R31,G alpha (i) signalling events 
Proteins,P59543,P59543,TAS2R20,G alpha (i) signalling events 
Proteins,P59542,P59542,TAS2R19,G alpha (i) signalling events 
Proteins,Q9NYV9,Q9NYV9,TAS2R13,G alpha (i) signalling events 
Proteins,P59539,P59539,TAS2R45,G alpha (i) signalling events 
Proteins,P59533,P59533,TAS2R38,G alpha (i) signalling events 
Proteins,Q9NYW1,Q9NYW1,TAS2R9,G alpha (i) signalling events 
Proteins,Q7RTR8,Q7RTR8,TAS2R42,G alpha (i) signalling events 
Proteins,P59540,P59540,TAS2R46,G alpha (i) signalling events 
Proteins,Q9NYW7,Q9NYW7,TAS2R1,G alpha (i) signalling events 
Proteins,P59535,P59535,TAS2R40,G alpha (i) signalling events 
Proteins,P59534,P59534,TAS2R39,G alpha (i) signalling events 
Proteins,Q9NYW4,Q9NYW4,TAS2R5,G alpha (i) signalling events 
Proteins,Q9NYV7,Q9NYV7,TAS2R16,G alpha (i) signalling events 
Proteins,Q9NYW3,Q9NYW3,TAS2R7,G alpha (i) signalling events 
Proteins,Q9NYW5,Q9NYW5,TAS2R4,G alpha (i) signalling events 
Proteins,P35372,P35372,OPRM1,G alpha (i) signalling events 
Proteins,P41145,P41145,OPRK1,G alpha (i) signalling events 
Proteins,P41143,P41143,OPRD1,G alpha (i) signalling events 
Proteins,P01213,P01213,PDYN,G alpha (i) signalling events 
Proteins,P01210,P01210,PENK,G alpha (i) signalling events 
Proteins,P01189,P01189,POMC,G alpha (i) signalling events 
Proteins,P49019,P49019,HCAR3,G alpha (i) signalling events 
Proteins,P08173,P08173,CHRM4,G alpha (i) signalling events 
Proteins,P08172,P08172,CHRM2,G alpha (i) signalling events 
Proteins,Q99616,Q99616,CCL13,G alpha (i) signalling events 
Proteins,P41597,P41597,CCR2,G alpha (i) signalling events 
Proteins,Q16581,Q16581,C3AR1,G alpha (i) signalling events 
Proteins,P01024,P01024,C3,G alpha (i) signalling events 
Proteins,Q99500,Q99500,S1PR3,G alpha (i) signalling events 
Proteins,O95977,O95977,S1PR4,G alpha (i) signalling events 
Proteins,Q9H228,Q9H228,S1PR5,G alpha (i) signalling events 
Proteins,O95136,O95136,S1PR2,G alpha (i) signalling events 
Proteins,Q9BXA5,Q9BXA5,SUCNR1,G alpha (i) signalling events 
Proteins,P51685,P51685,CCR8,G alpha (i) signalling events 
Proteins,O15467,O15467,CCL16,G alpha (i) signalling events 
Proteins,Q9NRV9,Q9NRV9,HEBP1,G alpha (i) signalling events 
Proteins,P25089,P25089,FPR3,G alpha (i) signalling events 
Proteins,O00270,O00270,GPR31,G alpha (i) signalling events 
Proteins,P22362,P22362,CCL1,G alpha (i) signalling events 
Proteins,Q8TDS4,Q8TDS4,HCAR2,G alpha (i) signalling events 
Proteins,P25025,P25025,CXCR2,G alpha (i) signalling events 
Proteins,P42830,P42830,CXCL5,G alpha (i) signalling events 
Proteins,P19875,P19875,CXCL2,G alpha (i) signalling events 
Proteins,P09341,P09341,CXCL1,G alpha (i) signalling events 
Proteins,P19876,P19876,CXCL3,G alpha (i) signalling events 
Proteins,P02775,P02775,PPBP,G alpha (i) signalling events 
Proteins,P02776,P02776,PF4,G alpha (i) signalling events 
Proteins,O00222,O00222,GRM8,G alpha (i) signalling events 
Proteins,Q14416,Q14416,GRM2,G alpha (i) signalling events 
Proteins,Q14833,Q14833,GRM4,G alpha (i) signalling events 
Proteins,O15303,O15303,GRM6,G alpha (i) signalling events 
Proteins,Q14832,Q14832,GRM3,G alpha (i) signalling events 
Proteins,Q14831,Q14831,GRM7,G alpha (i) signalling events 
Proteins,P01298,P01298,PPY,G alpha (i) signalling events 
Proteins,P10082,P10082,PYY,G alpha (i) signalling events 
Proteins,P01303,P01303,NPY,G alpha (i) signalling events 
Proteins,P50391,P50391,NPY4R,G alpha (i) signalling events 
Proteins,Q15761,Q15761,NPY5R,G alpha (i) signalling events 
Proteins,P25929,P25929,NPY1R,G alpha (i) signalling events 
Proteins,P49146,P49146,NPY2R,G alpha (i) signalling events 
Proteins,Q99527,Q99527,GPER1,G alpha (i) signalling events 
Proteins,P41180,P41180,CASR,G alpha (i) signalling events 
Proteins,O43927,O43927,CXCL13,G alpha (i) signalling events 
Proteins,P32302,P32302,CXCR5,G alpha (i) signalling events 
Proteins,P32249,P32249,GPR183,G alpha (i) signalling events 
Proteins,P51686,P51686,CCR9,G alpha (i) signalling events 
Proteins,O15444,O15444,CCL25,G alpha (i) signalling events 
Proteins,P0DMS8,P0DMS8,ADORA3,G alpha (i) signalling events 
Proteins,P30542,P30542,ADORA1,G alpha (i) signalling events 
Proteins,P20382,P20382,PMCH,G alpha (i) signalling events 
Proteins,Q969V1,Q969V1,MCHR2,G alpha (i) signalling events 
Proteins,Q99705,Q99705,MCHR1,G alpha (i) signalling events 
Proteins,Q9H3N8,Q9H3N8,HRH4,G alpha (i) signalling events 
Proteins,P21462,P21462,FPR1,G alpha (i) signalling events 
Proteins,Q9UBS5,Q9UBS5,GABBR1,G alpha (i) signalling events 
Proteins,O75899,O75899,GABBR2,G alpha (i) signalling events 
Proteins,Q7RTX0,Q7RTX0,TAS1R3,G alpha (i) signalling events 
Proteins,Q7RTX1,Q7RTX1,TAS1R1,G alpha (i) signalling events 
Proteins,Q9Y5Y4,Q9Y5Y4,PTGDR2,G alpha (i) signalling events 
Proteins,Q8TDU9,Q8TDU9,RXFP4,G alpha (i) signalling events 
Proteins,Q9Y5Q6,Q9Y5Q6,INSL5,G alpha (i) signalling events 
Proteins,P78423,P78423,CX3CL1,G alpha (i) signalling events 
Proteins,P49238,P49238,CX3CR1,G alpha (i) signalling events 
Proteins,O00230,O00230,CORT,G alpha (i) signalling events 
Proteins,P61278,P61278,SST,G alpha (i) signalling events 
Proteins,P30872,P30872,SSTR1,G alpha (i) signalling events 
Proteins,P30874,P30874,SSTR2,G alpha (i) signalling events 
Proteins,P35346,P35346,SSTR5,G alpha (i) signalling events 
Proteins,P32745,P32745,SSTR3,G alpha (i) signalling events 
Proteins,P31391,P31391,SSTR4,G alpha (i) signalling events 
Proteins,Q8TE23,Q8TE23,TAS1R2,G alpha (i) signalling events 
Proteins,P46092,P46092,CCR10,G alpha (i) signalling events 
Proteins,Q9NRJ3,Q9NRJ3,CCL28,G alpha (i) signalling events 
Proteins,Q9Y4X3,Q9Y4X3,CCL27,G alpha (i) signalling events 
Proteins,P43115,P43115,PTGER3,G alpha (i) signalling events 
Proteins,P50052,P50052,AGTR2,G alpha (i) signalling events 
Proteins,P01019,P01019,AGT,G alpha (i) signalling events 
Proteins,P51684,P51684,CCR6,G alpha (i) signalling events 
Proteins,P78556,P78556,CCL20,G alpha (i) signalling events 
Proteins,P49682,P49682,CXCR3,G alpha (i) signalling events 
Proteins,Q07325,Q07325,CXCL9,G alpha (i) signalling events 
Proteins,P02778,P02778,CXCL10,G alpha (i) signalling events 
Proteins,O14625,O14625,CXCL11,G alpha (i) signalling events 
Proteins,Q13304,Q13304,GPR17,G alpha (i) signalling events 
Proteins,Q8N729,Q8N729,NPW,G alpha (i) signalling events 
Proteins,Q8NG41,Q8NG41,NPB,G alpha (i) signalling events 
Proteins,P48146,P48146,NPBWR2,G alpha (i) signalling events 
Proteins,P48145,P48145,NPBWR1,G alpha (i) signalling events 
Proteins,Q6U736,Q6U736,OPN5,G alpha (i) signalling events 
Proteins,Q9H1Y3,Q9H1Y3,OPN3,G alpha (i) signalling events 
Proteins,P47804,P47804,RGR,G alpha (i) signalling events 
Proteins,O14718,O14718,RRH,G alpha (i) signalling events 
Proteins,P03999,P03999,OPN1SW,G alpha (i) signalling events 
Proteins,P08100,P08100,RHO,G alpha (i) signalling events 
Proteins,P04001,P04001,OPN1MW,G alpha (i) signalling events 
Proteins,P04000,P04000,OPN1LW,G alpha (i) signalling events 
Proteins,P11488,P11488,GNAT1,G alpha (i) signalling events 
Proteins,P19087,P19087,GNAT2,G alpha (i) signalling events 
Proteins,P49798,P49798,RGS4,G alpha (i) signalling events 
Proteins,O94810,O94810,RGS11,G alpha (i) signalling events 
Proteins,P49758,P49758,RGS6,G alpha (i) signalling events 
Proteins,P49796,P49796,RGS3,G alpha (i) signalling events 
Proteins,O14924,O14924,RGS12,G alpha (i) signalling events 
Proteins,P49795,P49795,RGS19,G alpha (i) signalling events 
Proteins,O15539,O15539,RGS5,G alpha (i) signalling events 
Proteins,O43665,O43665,RGS10,G alpha (i) signalling events 
Proteins,O43566,O43566,RGS14,G alpha (i) signalling events 
Proteins,P49802,P49802,RGS7,G alpha (i) signalling events 
Proteins,O15492,O15492,RGS16,G alpha (i) signalling events 
Proteins,Q9UGC6,Q9UGC6,RGS17,G alpha (i) signalling events 
Proteins,Q2M5E4,Q2M5E4,RGS21,G alpha (i) signalling events 
Proteins,Q08116,Q08116,RGS1,G alpha (i) signalling events 
Proteins,P57771,P57771,RGS8,G alpha (i) signalling events 
Proteins,O75916,O75916,RGS9,G alpha (i) signalling events 
Proteins,O14921,O14921,RGS13,G alpha (i) signalling events 
Proteins,Q9NS28,Q9NS28,RGS18,G alpha (i) signalling events 
Proteins,O76081,O76081,RGS20,G alpha (i) signalling events 
Proteins,Q8NE09,Q8NE09,RGS22,G alpha (i) signalling events 
Proteins,A5PLK6,A5PLK6,RGSL1,G alpha (i) signalling events 
Proteins,P51828,P51828,ADCY7,G alpha (i) signalling events 
Proteins,O43306,O43306,ADCY6,G alpha (i) signalling events 
Proteins,Q08462,Q08462,ADCY2,G alpha (i) signalling events 
Proteins,O60503,O60503,ADCY9,G alpha (i) signalling events 
Proteins,Q8NFM4,Q8NFM4,ADCY4,G alpha (i) signalling events 
Proteins,P40145,P40145,ADCY8,G alpha (i) signalling events 
Proteins,O60266,O60266,ADCY3,G alpha (i) signalling events 
Proteins,O95622,O95622,ADCY5,G alpha (i) signalling events 
Proteins,Q08828,Q08828,ADCY1,G alpha (i) signalling events 
Proteins,P38405,P38405,GNAL,G alpha (i) signalling events 
Proteins,Q14643,Q14643,ITPR1,G alpha (i) signalling events 
Proteins,Q14573,Q14573,ITPR3,G alpha (i) signalling events 
Proteins,Q14571,Q14571,ITPR2,G alpha (i) signalling events 
Proteins,O43865,O43865,AHCYL1,G alpha (i) signalling events 
Proteins,P29992,P29992,GNA11,G alpha (i) signalling events 
Proteins,P30679,P30679,GNA15,G alpha (i) signalling events 
Proteins,P50148,P50148,GNAQ,G alpha (i) signalling events 
Proteins,O95837,O95837,GNA14,G alpha (i) signalling events 
Proteins,Q15147,Q15147,PLCB4,G alpha (i) signalling events 
Proteins,Q01970,Q01970,PLCB3,G alpha (i) signalling events 
Proteins,Q9NQ66,Q9NQ66,PLCB1,G alpha (i) signalling events 
Proteins,Q00722,Q00722,PLCB2,G alpha (i) signalling events 
Proteins,P47712,P47712,PLA2G4A,G alpha (i) signalling events 
Proteins,P28482,P28482,MAPK1,G alpha (i) signalling events 
Proteins,P0DP23,P0DP23,CALM1,G alpha (i) signalling events 
Proteins,P17252,P17252,PRKCA,G alpha (i) signalling events 
Proteins,Q05655,Q05655,PRKCD,G alpha (i) signalling events 
Proteins,P05129,P05129,PRKCG,G alpha (i) signalling events 
Proteins,P25098,P25098,GRK2,G alpha (i) signalling events 
Proteins,P54750,P54750,PDE1A,G alpha (i) signalling events 
Proteins,Q14123,Q14123,PDE1C,G alpha (i) signalling events 
Proteins,Q01064,Q01064,PDE1B,G alpha (i) signalling events 
Proteins,P17612,P17612,PRKACA,G alpha (i) signalling events 
Proteins,P22694,P22694,PRKACB,G alpha (i) signalling events 
Proteins,P22612,P22612,PRKACG,G alpha (i) signalling events 
Proteins,P13861,P13861,PRKAR2A,G alpha (i) signalling events 
Proteins,P31323,P31323,PRKAR2B,G alpha (i) signalling events 
Proteins,P10644,P10644,PRKAR1A,G alpha (i) signalling events 
Proteins,P31321,P31321,PRKAR1B,G alpha (i) signalling events 
Proteins,Q8NFP9,Q8NFP9,NBEA,G alpha (i) signalling events 
Proteins,P16220-1,P16220-1,CREB1,G alpha (i) signalling events 
Proteins,P51817,P51817,PRKX,G alpha (i) signalling events 
Proteins,Q13555,Q13555,CAMK2G,G alpha (i) signalling events 
Proteins,Q13557,Q13557,CAMK2D,G alpha (i) signalling events 
Proteins,Q13554,Q13554,CAMK2B,G alpha (i) signalling events 
Proteins,Q9UQM7,Q9UQM7,CAMK2A,G alpha (i) signalling events 
Proteins,P52292,P52292,KPNA2,G alpha (i) signalling events 
Proteins,Q16566,Q16566,CAMK4,G alpha (i) signalling events 
Proteins,Q96RR4,Q96RR4,CAMKK2,G alpha (i) signalling events 
Proteins,Q8N5S9,Q8N5S9,CAMKK1,G alpha (i) signalling events 
Proteins,Q9UD71,Q9UD71,PPP1R1B,G alpha (i) signalling events 
Proteins,P62136,P62136,PPP1CA,G alpha (i) signalling events 
Proteins,P16298,P16298,PPP3CB,G alpha (i) signalling events 
Proteins,Q08209,Q08209,PPP3CA,G alpha (i) signalling events 
Proteins,P48454,P48454,PPP3CC,G alpha (i) signalling events 
Proteins,Q07343-3,Q07343-3,PDE4B,G alpha (i) signalling events 
Proteins,P63098,P63098,PPP3R1,G alpha (i) signalling events 
Proteins,Q08493,Q08493,PDE4C,G alpha (i) signalling events 
Proteins,Q08499,Q08499,PDE4D,G alpha (i) signalling events 
Proteins,P27815,P27815,PDE4A,G alpha (i) signalling events 
Proteins,Q00535,Q00535,CDK5,G alpha (i) signalling events 
Proteins,P30153,P30153,PPP2R1A,G alpha (i) signalling events 
Proteins,P30154,P30154,PPP2R1B,G alpha (i) signalling events 
Proteins,P67775,P67775,PPP2CA,G alpha (i) signalling events 
Proteins,P62714,P62714,PPP2CB,G alpha (i) signalling events 
Proteins,Q14738,Q14738,PPP2R5D,G alpha (i) signalling events 
Proteins,Q8IVA1,Q8IVA1,PCP2,G alpha (i) signalling events 
Proteins,P81274,P81274,GPSM2,G alpha (i) signalling events 
Proteins,Q9Y4H4,Q9Y4H4,GPSM3,G alpha (i) signalling events 
Proteins,Q86YR5,Q86YR5,GPSM1,G alpha (i) signalling events 
Proteins,Q5JWF2,Q5JWF2,GNAS,G alpha (i) signalling events 
Proteins,P63092,P63092,GNAS,G alpha (i) signalling events 
Proteins,P19086,P19086,GNAZ,G alpha (i) signalling events 
Proteins,Q13554,Q13554,CAMK2B,Interferon gamma signaling
Proteins,Q9UQM7,Q9UQM7,CAMK2A,Interferon gamma signaling
Proteins,Q13557,Q13557,CAMK2D,Interferon gamma signaling
Proteins,Q13555,Q13555,CAMK2G,Interferon gamma signaling
Proteins,Q05655,Q05655,PRKCD,Interferon gamma signaling
Proteins,P42224-1,P42224-1,STAT1,Interferon gamma signaling
Proteins,P01579,P01579,IFNG,Interferon gamma signaling
Proteins,P23458,P23458,JAK1,Interferon gamma signaling
Proteins,P15260,P15260,IFNGR1,Interferon gamma signaling
Proteins,O60674,O60674,JAK2,Interferon gamma signaling
Proteins,P38484,P38484,IFNGR2,Interferon gamma signaling
Proteins,P29350,P29350,PTPN6,Interferon gamma signaling
Proteins,O15524,O15524,SOCS1,Interferon gamma signaling
Proteins,O14543,O14543,SOCS3,Interferon gamma signaling
Proteins,P67809,P67809,YBX1,Interferon gamma signaling
Proteins,Q06124,Q06124,PTPN11,Interferon gamma signaling
Proteins,P18031,P18031,PTPN1,Interferon gamma signaling
Proteins,P17706-2,P17706-2,PTPN2,Interferon gamma signaling
Proteins,P63165,P63165,SUMO1,Interferon gamma signaling
Proteins,O75925,O75925,PIAS1,Interferon gamma signaling
Proteins,Q6ZN66,Q6ZN66,GBP6,Interferon gamma signaling
Proteins,Q96PP8,Q96PP8,GBP5,Interferon gamma signaling
Proteins,Q96PP9,Q96PP9,GBP4,Interferon gamma signaling
Proteins,Q8N8V2,Q8N8V2,GBP7,Interferon gamma signaling
Proteins,Q9H0R5,Q9H0R5,GBP3,Interferon gamma signaling
Proteins,P32456,P32456,GBP2,Interferon gamma signaling
Proteins,P32455,P32455,GBP1,Interferon gamma signaling
Proteins,Q15306,Q15306,IRF4,Interferon gamma signaling
Proteins,Q00978,Q00978,IRF9,Interferon gamma signaling
Proteins,Q13568,Q13568,IRF5,Interferon gamma signaling
Proteins,P10914,P10914,IRF1,Interferon gamma signaling
Proteins,Q14653,Q14653,IRF3,Interferon gamma signaling
Proteins,O14896,O14896,IRF6,Interferon gamma signaling
Proteins,Q02556,Q02556,IRF8,Interferon gamma signaling
Proteins,P14316,P14316,IRF2,Interferon gamma signaling
Proteins,Q92985,Q92985,IRF7,Interferon gamma signaling
Proteins,P12314,P12314,FCGR1A,Interferon gamma signaling
Proteins,Q92637,Q92637,FCGR1BP,Interferon gamma signaling
Proteins,P04439,P04439,HLA-A,Interferon gamma signaling
Proteins,P01893,P01893,HLA-H,Interferon gamma signaling
Proteins,P17693,P17693,HLA-G,Interferon gamma signaling
Proteins,P30511,P30511,HLA-F,Interferon gamma signaling
Proteins,P10321,P10321,HLA-C,Interferon gamma signaling
Proteins,P13747,P13747,HLA-E,Interferon gamma signaling
Proteins,P01889,P01889,HLA-B,Interferon gamma signaling
Proteins,P20036,P20036,HLA-DPA1,Interferon gamma signaling
Proteins,P01909,P01909,HLA-DQA1,Interferon gamma signaling
Proteins,P01903,P01903,HLA-DRA,Interferon gamma signaling
Proteins,P01906,P01906,HLA-DQA2,Interferon gamma signaling
Proteins,P05538,P05538,HLA-DQB2,Interferon gamma signaling
Proteins,P04440,P04440,HLA-DPB1,Interferon gamma signaling
Proteins,P01920,P01920,HLA-DQB1,Interferon gamma signaling
Proteins,Q30154,Q30154,HLA-DRB5,Interferon gamma signaling
Proteins,P79483,P79483,HLA-DRB3,Interferon gamma signaling
Proteins,P13762,P13762,HLA-DRB4,Interferon gamma signaling
Proteins,P01911,P01911,HLA-DRB1,Interferon gamma signaling
Proteins,P05362,P05362,ICAM1,Interferon gamma signaling
Proteins,P16070,P16070,CD44,Interferon gamma signaling
Proteins,P19320,P19320,VCAM1,Interferon gamma signaling
Proteins,P13591,P13591,NCAM1,Interferon gamma signaling
Proteins,Q9UDY6,Q9UDY6,TRIM10,Interferon gamma signaling
Proteins,Q14134,Q14134,TRIM29,Interferon gamma signaling
Proteins,Q7Z4K8,Q7Z4K8,TRIM46,Interferon gamma signaling
Proteins,Q9UPQ4,Q9UPQ4,TRIM35,Interferon gamma signaling
Proteins,Q8IWZ4,Q8IWZ4,TRIM48,Interferon gamma signaling
Proteins,Q9C040,Q9C040,TRIM2,Interferon gamma signaling
Proteins,Q14142,Q14142,TRIM14,Interferon gamma signaling
Proteins,Q9H8W5,Q9H8W5,TRIM45,Interferon gamma signaling
Proteins,Q9Y577,Q9Y577,TRIM17,Interferon gamma signaling
Proteins,O75382,O75382,TRIM3,Interferon gamma signaling
Proteins,Q9C030,Q9C030,TRIM6,Interferon gamma signaling
Proteins,Q9BVG3,Q9BVG3,TRIM62,Interferon gamma signaling
Proteins,Q9C035,Q9C035,TRIM5,Interferon gamma signaling
Proteins,Q14258,Q14258,TRIM25,Interferon gamma signaling
Proteins,Q6AZZ1,Q6AZZ1,TRIM68,Interferon gamma signaling
Proteins,Q9BZY9,Q9BZY9,TRIM31,Interferon gamma signaling
Proteins,O00635,O00635,TRIM38,Interferon gamma signaling
Proteins,Q12899,Q12899,TRIM26,Interferon gamma signaling
Proteins,P29590,P29590,PML,Interferon gamma signaling
Proteins,O15344,O15344,MID1,Interferon gamma signaling
Proteins,Q8IYM9,Q8IYM9,TRIM22,Interferon gamma signaling
Proteins,Q9BYJ4,Q9BYJ4,TRIM34,Interferon gamma signaling
Proteins,Q9BZR9,Q9BZR9,TRIM8,Interferon gamma signaling
Proteins,P19474,P19474,TRIM21,Interferon gamma signaling
Proteins,P02795,P02795,MT2A,Interferon gamma signaling
Proteins,P23497,P23497,SP100,Interferon gamma signaling
Proteins,P25105,P25105,PTAFR,Interferon gamma signaling
Proteins,P13284,P13284,IFI30,Interferon gamma signaling
Proteins,P61769,P61769,B2M,Interferon gamma signaling
Proteins,P33076,P33076,CIITA,Interferon gamma signaling
Proteins,P00973,P00973,OAS1,Interferon gamma signaling
Proteins,Q15646,Q15646,OASL,Interferon gamma signaling
Proteins,P29728,P29728,OAS2,Interferon gamma signaling
Proteins,Q9Y6K5,Q9Y6K5,OAS3,Interferon gamma signaling
Proteins,P27361,P27361,MAPK3,Interferon gamma signaling
Proteins,P28482,P28482,MAPK1,Interferon gamma signaling
Proteins,O15105,O15105,SMAD7,Interferon gamma signaling
Proteins,P04049,P04049,RAF1,Interferon gamma signaling
Proteins,P32239,P32239,CCKBR,G alpha (q) signalling events
Proteins,P01350,P01350,GAST,G alpha (q) signalling events
