#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACHE	ADORA2A	9606.ENSP00000303211	9606.ENSP00000480012	0	0	0	0	0	0	0	0.591	0.591
ACHE	MAOA	9606.ENSP00000303211	9606.ENSP00000340684	0	0	0	0	0.103	0	0	0.744	0.761
ADORA2A	SLC6A3	9606.ENSP00000480012	9606.ENSP00000270349	0	0	0	0	0.054	0	0	0.531	0.537
ADORA2A	DRD2	9606.ENSP00000480012	9606.ENSP00000354859	0	0	0	0.639	0.100	0.806	0	0.987	0.997
ADORA2A	PDE10A	9606.ENSP00000480012	9606.ENSP00000355847	0	0	0	0	0.110	0.046	0	0.508	0.546
ADORA2A	SRC	9606.ENSP00000480012	9606.ENSP00000362680	0	0	0	0	0.047	0	0.500	0.270	0.621
ADORA2A	FGFR1	9606.ENSP00000480012	9606.ENSP00000393312	0	0	0	0	0	0.046	0	0.717	0.718
ADORA2A	ESR1	9606.ENSP00000480012	9606.ENSP00000405330	0	0	0	0	0	0	0	0.425	0.424
ADORA2A	IDO1	9606.ENSP00000480012	9606.ENSP00000430950	0	0	0	0	0.106	0	0	0.544	0.575
ADORA2A	NTRK1	9606.ENSP00000480012	9606.ENSP00000431418	0	0	0	0	0	0	0.700	0.545	0.857
AKT2	MAPK1	9606.ENSP00000375892	9606.ENSP00000215832	0	0	0	0.592	0.083	0.110	0.900	0.240	0.929
AKT2	CSNK2A1	9606.ENSP00000375892	9606.ENSP00000217244	0	0	0	0.589	0.067	0.062	0	0.422	0.450
AKT2	GSK3A	9606.ENSP00000375892	9606.ENSP00000222330	0	0	0	0.584	0.059	0.125	0.900	0.328	0.937
AKT2	MAPK14	9606.ENSP00000375892	9606.ENSP00000229795	0	0	0.118	0.630	0.089	0.110	0.900	0.194	0.932
AKT2	MAPK3	9606.ENSP00000375892	9606.ENSP00000263025	0	0	0	0.587	0.062	0.110	0.900	0.604	0.962
AKT2	PIK3CA	9606.ENSP00000375892	9606.ENSP00000263967	0	0	0	0	0.042	0.098	0.900	0.841	0.984
AKT2	EGFR	9606.ENSP00000375892	9606.ENSP00000275493	0	0	0	0.561	0.042	0.175	0	0.549	0.612
AKT2	ATM	9606.ENSP00000375892	9606.ENSP00000278616	0	0	0	0	0.060	0	0	0.443	0.454
AKT2	PPARG	9606.ENSP00000375892	9606.ENSP00000287820	0	0	0	0	0.084	0.071	0	0.666	0.691
AKT2	PRKDC	9606.ENSP00000375892	9606.ENSP00000313420	0	0	0	0	0.042	0.577	0	0.557	0.805
AKT2	GSK3B	9606.ENSP00000375892	9606.ENSP00000324806	0	0	0	0.582	0.067	0.532	0.900	0.536	0.977
AKT2	HSP90AA1	9606.ENSP00000375892	9606.ENSP00000335153	0	0	0	0	0.047	0.223	0.900	0.380	0.948
AKT2	ESR2	9606.ENSP00000375892	9606.ENSP00000343925	0	0	0	0	0.057	0.071	0	0.389	0.419
AKT2	MTOR	9606.ENSP00000375892	9606.ENSP00000354558	0	0	0	0	0.060	0.073	0.900	0.668	0.967
AKT2	SRC	9606.ENSP00000375892	9606.ENSP00000362680	0	0	0.175	0.567	0.063	0.045	0.500	0.608	0.829
AKT2	PIK3CD	9606.ENSP00000375892	9606.ENSP00000366563	0	0	0	0	0.042	0.286	0.900	0.520	0.962
AKT2	PRKCZ	9606.ENSP00000375892	9606.ENSP00000367830	0	0	0	0.863	0	0.292	0.900	0.089	0.929
AKT2	CYP19A1	9606.ENSP00000375892	9606.ENSP00000379683	0	0	0	0	0	0.051	0	0.497	0.502
AKT2	MAPK8	9606.ENSP00000375892	9606.ENSP00000378974	0	0	0	0.579	0.060	0.088	0	0.493	0.527
AKT2	ESR1	9606.ENSP00000375892	9606.ENSP00000405330	0	0	0	0	0.055	0.314	0	0.455	0.616
AKT2	LCK	9606.ENSP00000375892	9606.ENSP00000477713	0	0	0.148	0.565	0.080	0.045	0.500	0.159	0.628
AKT2	PIK3CG	9606.ENSP00000375892	9606.ENSP00000419260	0	0	0	0	0	0.098	0.900	0.739	0.974
AKT2	PIK3CB	9606.ENSP00000375892	9606.ENSP00000501150	0	0	0	0	0.048	0.276	0.900	0.783	0.983
ALK	MAPK1	9606.ENSP00000373700	9606.ENSP00000215832	0	0	0	0	0.056	0.222	0	0.339	0.472
ALK	MAPK3	9606.ENSP00000373700	9606.ENSP00000263025	0	0	0	0	0.056	0.110	0	0.492	0.536
ALK	BRD4	9606.ENSP00000373700	9606.ENSP00000263377	0	0	0	0	0	0	0	0.400	0.400
ALK	PIK3CA	9606.ENSP00000373700	9606.ENSP00000263967	0	0	0	0	0	0.069	0.900	0.801	0.979
ALK	EGFR	9606.ENSP00000373700	9606.ENSP00000275493	0	0	0	0.566	0	0.100	0	0.473	0.505
ALK	ATM	9606.ENSP00000373700	9606.ENSP00000278616	0	0	0	0	0	0	0	0.577	0.577
ALK	HSP90AA1	9606.ENSP00000373700	9606.ENSP00000335153	0	0	0	0	0	0.223	0	0.707	0.762
ALK	PTK2	9606.ENSP00000373700	9606.ENSP00000341189	0	0	0	0.590	0	0.094	0	0.481	0.509
ALK	RET	9606.ENSP00000373700	9606.ENSP00000347942	0	0	0	0.598	0	0.256	0	0.595	0.686
ALK	MTOR	9606.ENSP00000373700	9606.ENSP00000354558	0	0	0	0	0	0.073	0	0.662	0.673
ALK	SRC	9606.ENSP00000373700	9606.ENSP00000362680	0	0	0	0.689	0	0.314	0.500	0.500	0.813
ALK	PIK3CD	9606.ENSP00000373700	9606.ENSP00000366563	0	0	0	0	0	0.069	0.900	0.284	0.927
ALK	JAK2	9606.ENSP00000373700	9606.ENSP00000371067	0	0	0	0.562	0	0.162	0.900	0.307	0.936
ALK	BRAF	9606.ENSP00000373700	9606.ENSP00000419060	0	0	0	0.574	0	0	0	0.405	0.405
ALK	ESR1	9606.ENSP00000373700	9606.ENSP00000405330	0	0	0	0	0.046	0.071	0	0.508	0.525
ALK	IDH1	9606.ENSP00000373700	9606.ENSP00000390265	0	0	0	0	0	0	0	0.591	0.591
ALK	PTPN11	9606.ENSP00000373700	9606.ENSP00000489597	0	0	0	0	0	0.214	0	0.743	0.790
ALK	PIK3CB	9606.ENSP00000373700	9606.ENSP00000501150	0	0	0	0	0	0.186	0.900	0.275	0.935
ALK	JAK1	9606.ENSP00000373700	9606.ENSP00000499900	0	0	0	0.561	0	0	0.900	0.465	0.944
ALK	JAK3	9606.ENSP00000373700	9606.ENSP00000432511	0	0	0	0.560	0	0.369	0.900	0.282	0.950
ALOX5	CYP2C9	9606.ENSP00000363512	9606.ENSP00000260682	0	0	0	0	0.065	0.065	0.900	0.551	0.955
ALOX5	PPARG	9606.ENSP00000363512	9606.ENSP00000287820	0	0	0	0	0.093	0	0	0.480	0.509
ALOX5	AOC3	9606.ENSP00000363512	9606.ENSP00000312326	0	0	0	0	0.073	0	0	0.430	0.449
ALOX5	PTGS1	9606.ENSP00000363512	9606.ENSP00000354612	0	0	0	0	0.130	0	0.900	0.692	0.970
ALOX5	CYP2C19	9606.ENSP00000363512	9606.ENSP00000360372	0	0	0	0	0.062	0.065	0.900	0.530	0.953
ALOX5	PPARA	9606.ENSP00000363512	9606.ENSP00000385523	0	0	0	0	0.086	0	0	0.374	0.403
ALOX5	EPHX2	9606.ENSP00000363512	9606.ENSP00000430269	0	0	0	0	0	0.050	0	0.514	0.519
AOC3	FLT3	9606.ENSP00000312326	9606.ENSP00000241453	0	0	0	0	0.052	0	0	0.571	0.575
AOC3	RORC	9606.ENSP00000312326	9606.ENSP00000327025	0	0	0	0	0.062	0	0	0.391	0.404
AOC3	LCK	9606.ENSP00000312326	9606.ENSP00000477713	0	0	0	0	0	0	0	0.583	0.583
AOC3	MAOA	9606.ENSP00000312326	9606.ENSP00000340684	0	0	0	0	0.126	0	0.900	0.572	0.959
AR	MAPK1	9606.ENSP00000363822	9606.ENSP00000215832	0	0	0	0	0	0.292	0	0.360	0.527
AR	AURKA	9606.ENSP00000363822	9606.ENSP00000216911	0	0	0	0	0.057	0	0	0.474	0.482
AR	GSK3A	9606.ENSP00000363822	9606.ENSP00000222330	0	0	0	0	0	0.314	0	0.250	0.463
AR	MAPK3	9606.ENSP00000363822	9606.ENSP00000263025	0	0	0	0	0	0	0	0.681	0.681
AR	BRD4	9606.ENSP00000363822	9606.ENSP00000263377	0	0	0	0	0	0.585	0	0.929	0.969
AR	PIK3CA	9606.ENSP00000363822	9606.ENSP00000263967	0	0	0	0	0	0	0	0.571	0.571
AR	KLKB1	9606.ENSP00000363822	9606.ENSP00000264690	0	0	0	0	0.042	0	0	0.732	0.732
AR	CDK2	9606.ENSP00000363822	9606.ENSP00000266970	0	0	0	0	0	0.045	0	0.493	0.495
AR	EGFR	9606.ENSP00000363822	9606.ENSP00000275493	0	0	0	0	0	0.536	0	0.720	0.864
AR	ATM	9606.ENSP00000363822	9606.ENSP00000278616	0	0	0	0	0.055	0	0	0.533	0.539
AR	PPARG	9606.ENSP00000363822	9606.ENSP00000287820	0	0	0	0.571	0	0	0	0.517	0.517
AR	PRKDC	9606.ENSP00000363822	9606.ENSP00000313420	0	0	0	0	0	0.510	0	0.358	0.672
AR	MET	9606.ENSP00000363822	9606.ENSP00000317272	0	0	0	0	0.046	0.071	0	0.488	0.507
AR	GSK3B	9606.ENSP00000363822	9606.ENSP00000324806	0	0	0	0	0	0.314	0	0.778	0.841
AR	HSP90AA1	9606.ENSP00000363822	9606.ENSP00000335153	0	0	0	0	0.054	0.901	0.900	0.990	0.999
AR	ESR2	9606.ENSP00000363822	9606.ENSP00000343925	0	0	0	0.668	0.102	0	0	0.560	0.588
AR	MTOR	9606.ENSP00000363822	9606.ENSP00000354558	0	0	0	0	0	0	0	0.548	0.548
AR	SRC	9606.ENSP00000363822	9606.ENSP00000362680	0	0	0	0	0	0.748	0	0.944	0.985
AR	CYP3A4	9606.ENSP00000363822	9606.ENSP00000498939	0	0	0	0	0.043	0.071	0	0.403	0.423
AR	BRAF	9606.ENSP00000363822	9606.ENSP00000419060	0	0	0	0	0	0.071	0	0.673	0.683
AR	CYP19A1	9606.ENSP00000363822	9606.ENSP00000379683	0	0	0	0	0	0.056	0	0.784	0.787
AR	ESR1	9606.ENSP00000363822	9606.ENSP00000405330	0	0	0	0.651	0.172	0	0	0.978	0.981
AR	KDM1A	9606.ENSP00000363822	9606.ENSP00000383042	0	0	0	0	0	0.632	0.500	0.982	0.996
ATG4B	MTOR	9606.ENSP00000384259	9606.ENSP00000354558	0	0	0	0	0.067	0	0	0.531	0.544
ATM	MAPK1	9606.ENSP00000278616	9606.ENSP00000215832	0	0	0	0	0.123	0.300	0	0.434	0.622
ATM	AURKA	9606.ENSP00000278616	9606.ENSP00000216911	0	0	0	0	0	0.071	0	0.507	0.522
ATM	CSNK2A1	9606.ENSP00000278616	9606.ENSP00000217244	0	0	0	0	0.049	0	0	0.401	0.406
ATM	MAPK14	9606.ENSP00000278616	9606.ENSP00000229795	0	0	0	0	0.063	0.516	0	0.436	0.722
ATM	FLT3	9606.ENSP00000278616	9606.ENSP00000241453	0	0	0	0	0.059	0	0	0.507	0.516
ATM	MAPK3	9606.ENSP00000278616	9606.ENSP00000263025	0	0	0	0	0.068	0.053	0	0.511	0.532
ATM	BRD4	9606.ENSP00000278616	9606.ENSP00000263377	0	0	0	0	0.042	0.292	0	0.377	0.540
ATM	KDR	9606.ENSP00000278616	9606.ENSP00000263923	0	0	0	0	0.059	0	0	0.447	0.457
ATM	PIK3CA	9606.ENSP00000278616	9606.ENSP00000263967	0	0	0	0.548	0.109	0	0	0.404	0.446
ATM	CDK2	9606.ENSP00000278616	9606.ENSP00000266970	0	0	0	0	0.042	0.054	0.800	0.834	0.966
ATM	EGFR	9606.ENSP00000278616	9606.ENSP00000275493	0	0	0	0	0.042	0	0	0.681	0.681
ATM	MTOR	9606.ENSP00000278616	9606.ENSP00000354558	0	0	0	0.551	0.135	0	0	0.343	0.408
ATM	NEK2	9606.ENSP00000278616	9606.ENSP00000355966	0	0	0	0	0.111	0	0	0.364	0.411
ATM	PPARG	9606.ENSP00000278616	9606.ENSP00000287820	0	0	0	0	0.055	0	0	0.409	0.418
ATM	JAK1	9606.ENSP00000278616	9606.ENSP00000499900	0	0	0	0	0.144	0	0	0.389	0.455
ATM	PDE4D	9606.ENSP00000278616	9606.ENSP00000345502	0	0	0	0	0	0	0	0.474	0.474
ATM	PTPN11	9606.ENSP00000278616	9606.ENSP00000489597	0	0	0	0	0.062	0	0	0.474	0.486
ATM	GSK3B	9606.ENSP00000278616	9606.ENSP00000324806	0	0	0	0	0.042	0	0	0.489	0.489
ATM	FGFR1	9606.ENSP00000278616	9606.ENSP00000393312	0	0	0	0	0.052	0	0	0.507	0.512
ATM	JAK3	9606.ENSP00000278616	9606.ENSP00000432511	0	0	0	0	0.093	0	0	0.487	0.515
ATM	SRC	9606.ENSP00000278616	9606.ENSP00000362680	0	0	0	0	0.067	0	0	0.520	0.533
ATM	JAK2	9606.ENSP00000278616	9606.ENSP00000371067	0	0	0	0	0.091	0	0	0.521	0.546
ATM	AURKB	9606.ENSP00000278616	9606.ENSP00000313950	0	0	0	0	0.042	0.071	0	0.532	0.547
ATM	RPS6KA3	9606.ENSP00000278616	9606.ENSP00000368884	0	0	0	0	0.106	0.292	0	0.363	0.561
ATM	RET	9606.ENSP00000278616	9606.ENSP00000347942	0	0	0	0	0.052	0	0	0.571	0.575
ATM	IDH1	9606.ENSP00000278616	9606.ENSP00000390265	0	0	0	0	0.042	0	0	0.577	0.578
ATM	ESR1	9606.ENSP00000278616	9606.ENSP00000405330	0	0	0	0	0.055	0	0	0.595	0.601
ATM	BTK	9606.ENSP00000278616	9606.ENSP00000483570	0	0	0	0	0.105	0	0	0.606	0.632
ATM	PLK1	9606.ENSP00000278616	9606.ENSP00000300093	0	0	0	0	0.042	0	0	0.767	0.768
ATM	BRAF	9606.ENSP00000278616	9606.ENSP00000419060	0	0	0	0	0	0	0	0.778	0.778
ATM	HSP90AA1	9606.ENSP00000278616	9606.ENSP00000335153	0	0	0	0	0.042	0	0	0.785	0.785
ATM	MAPK8	9606.ENSP00000278616	9606.ENSP00000378974	0	0	0	0	0.090	0.292	0.500	0.432	0.792
ATM	KDM1A	9606.ENSP00000278616	9606.ENSP00000383042	0	0	0	0	0.042	0	0.900	0.324	0.929
ATM	PRKDC	9606.ENSP00000278616	9606.ENSP00000313420	0	0	0	0.548	0.158	0.413	0.900	0.489	0.971
ATM	CHEK2	9606.ENSP00000278616	9606.ENSP00000372023	0	0	0	0	0.044	0.836	0.500	0.999	0.999
ATM	ATR	9606.ENSP00000278616	9606.ENSP00000343741	0	0	0	0.564	0.213	0.974	0.900	0.745	0.999
ATR	BRD4	9606.ENSP00000343741	9606.ENSP00000263377	0	0	0	0	0.055	0.315	0	0.217	0.449
ATR	CDK2	9606.ENSP00000343741	9606.ENSP00000266970	0	0	0	0	0.054	0.473	0.500	0.549	0.872
ATR	PLK1	9606.ENSP00000343741	9606.ENSP00000300093	0	0	0	0	0.054	0	0	0.459	0.467
ATR	PRKDC	9606.ENSP00000343741	9606.ENSP00000313420	0	0	0	0.550	0.157	0.250	0	0.481	0.643
ATR	AURKB	9606.ENSP00000343741	9606.ENSP00000313950	0	0	0	0	0.047	0.071	0	0.379	0.402
ATR	HSP90AA1	9606.ENSP00000343741	9606.ENSP00000335153	0	0	0	0	0.056	0.381	0	0.347	0.585
ATR	DOT1L	9606.ENSP00000343741	9606.ENSP00000381657	0	0	0	0	0.049	0	0	0.421	0.426
ATR	MTOR	9606.ENSP00000343741	9606.ENSP00000354558	0	0	0	0.554	0.143	0.079	0	0.342	0.436
ATR	CHEK2	9606.ENSP00000343741	9606.ENSP00000372023	0	0	0	0	0.049	0.970	0	0.955	0.998
AURKA	CSNK2A1	9606.ENSP00000216911	9606.ENSP00000217244	0	0	0	0.617	0.094	0.164	0	0.307	0.429
AURKA	RET	9606.ENSP00000216911	9606.ENSP00000347942	0	0	0	0.600	0	0	0	0.435	0.435
AURKA	FLT3	9606.ENSP00000216911	9606.ENSP00000241453	0	0	0	0.569	0	0	0	0.468	0.468
AURKA	MAPK8	9606.ENSP00000216911	9606.ENSP00000378974	0	0	0.108	0.607	0	0	0	0.436	0.475
AURKA	EGFR	9606.ENSP00000216911	9606.ENSP00000275493	0	0	0	0.595	0	0.329	0	0.259	0.481
AURKA	PIK3CA	9606.ENSP00000216911	9606.ENSP00000263967	0	0	0	0	0	0	0	0.505	0.505
AURKA	BRD4	9606.ENSP00000216911	9606.ENSP00000263377	0	0	0	0	0	0.292	0	0.397	0.554
AURKA	HSP90AA1	9606.ENSP00000216911	9606.ENSP00000335153	0	0	0	0	0.062	0.381	0	0.331	0.578
AURKA	ESR1	9606.ENSP00000216911	9606.ENSP00000405330	0	0	0	0	0.057	0.302	0	0.678	0.769
AURKA	GSK3B	9606.ENSP00000216911	9606.ENSP00000324806	0	0	0	0.622	0.042	0.523	0	0.535	0.769
AURKA	NEK2	9606.ENSP00000216911	9606.ENSP00000355966	0	0	0.123	0.684	0.641	0	0	0.501	0.829
AURKA	CDK2	9606.ENSP00000216911	9606.ENSP00000266970	0	0	0.130	0.753	0.372	0.637	0	0.495	0.886
AURKA	AURKB	9606.ENSP00000216911	9606.ENSP00000313950	0	0	0.061	0.958	0.573	0.421	0.540	0.387	0.922
AURKA	PLK1	9606.ENSP00000216911	9606.ENSP00000300093	0	0	0	0.741	0.902	0.690	0.500	0.840	0.997
AURKB	FLT3	9606.ENSP00000313950	9606.ENSP00000241453	0	0	0	0	0	0	0	0.606	0.606
AURKB	BRD4	9606.ENSP00000313950	9606.ENSP00000263377	0	0	0	0	0.049	0.292	0	0.367	0.536
AURKB	PIK3CA	9606.ENSP00000313950	9606.ENSP00000263967	0	0	0	0	0	0	0	0.475	0.475
AURKB	CDK2	9606.ENSP00000313950	9606.ENSP00000266970	0	0	0.148	0.717	0.449	0.095	0	0.256	0.642
AURKB	PLK1	9606.ENSP00000313950	9606.ENSP00000300093	0	0	0	0.744	0.789	0.212	0.500	0.351	0.939
AURKB	PRKDC	9606.ENSP00000313950	9606.ENSP00000313420	0	0	0	0	0.092	0.365	0	0.285	0.552
AURKB	SRC	9606.ENSP00000313950	9606.ENSP00000362680	0	0	0	0.594	0	0.067	0	0.468	0.482
AURKB	NEK2	9606.ENSP00000313950	9606.ENSP00000355966	0	0	0.120	0.688	0.585	0	0	0.455	0.783
AURKB	HSP90AA1	9606.ENSP00000313950	9606.ENSP00000335153	0	0	0	0	0.066	0.688	0	0.622	0.880
AXL	BRD4	9606.ENSP00000301178	9606.ENSP00000263377	0	0	0	0	0	0	0	0.486	0.486
AXL	KDR	9606.ENSP00000301178	9606.ENSP00000263923	0	0	0	0.602	0.050	0.091	0.500	0.267	0.641
AXL	PIK3CA	9606.ENSP00000301178	9606.ENSP00000263967	0	0	0	0	0	0.069	0.500	0.493	0.743
AXL	EGFR	9606.ENSP00000301178	9606.ENSP00000275493	0	0	0	0.603	0.122	0.568	0	0.495	0.792
AXL	PLAU	9606.ENSP00000301178	9606.ENSP00000361850	0	0	0	0	0.222	0.096	0	0.249	0.425
AXL	PTPN11	9606.ENSP00000301178	9606.ENSP00000489597	0	0	0	0	0.055	0.158	0	0.350	0.438
AXL	MTOR	9606.ENSP00000301178	9606.ENSP00000354558	0	0	0	0	0	0.073	0	0.420	0.439
AXL	FGFR1	9606.ENSP00000301178	9606.ENSP00000393312	0	0	0	0.638	0.083	0.091	0	0.390	0.447
AXL	PIK3CB	9606.ENSP00000301178	9606.ENSP00000501150	0	0	0	0	0	0.069	0.500	0.220	0.605
AXL	MET	9606.ENSP00000301178	9606.ENSP00000317272	0	0	0	0.652	0.091	0.097	0	0.576	0.621
AXL	LCK	9606.ENSP00000301178	9606.ENSP00000477713	0	0	0	0.700	0	0.243	0	0.660	0.731
AXL	HSP90AA1	9606.ENSP00000301178	9606.ENSP00000335153	0	0	0	0	0.050	0.478	0	0.603	0.786
AXL	JAK1	9606.ENSP00000301178	9606.ENSP00000499900	0	0	0	0.575	0	0.051	0.900	0.172	0.914
AXL	JAK2	9606.ENSP00000301178	9606.ENSP00000371067	0	0	0	0.583	0	0.051	0.900	0.178	0.915
AXL	SRC	9606.ENSP00000301178	9606.ENSP00000362680	0	0	0	0.691	0.049	0.485	0.900	0.694	0.983
BCHE	MAPK1	9606.ENSP00000264381	9606.ENSP00000215832	0	0	0	0	0	0.045	0	0.459	0.461
BCHE	CTSD	9606.ENSP00000264381	9606.ENSP00000236671	0	0	0	0	0	0	0	0.435	0.435
BCHE	GSK3B	9606.ENSP00000264381	9606.ENSP00000324806	0	0	0	0	0	0.051	0	0.438	0.443
BCHE	CA1	9606.ENSP00000264381	9606.ENSP00000430656	0	0	0	0	0	0	0	0.453	0.453
